"cell","ttype","ttype_sub","layer"
"SM-GE63V_S183_E1-50","Vip","Vip Crispld2 Kcne4","2/3"
"SM-GE63V_S192_E1-50","Lamp5","Lamp5 Lsp1","5"
"SM-GE63O_S006_E1-50","Vip","Vip Igfbp4 Mab21l1","5"
"SM-GE63O_S008_E1-50","Lamp5","Lamp5 Lsp1","1"
"SM-GE63O_S010_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE63O_S026_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE63O_S034_E1-50","Vip","Vip Lect1 Oxtr","5"
"SM-GE63O_S037_E1-50","Vip","Vip Crispld2 Kcne4","2/3"
"SM-GE63O_S056_E1-50","Pvalb","Pvalb Reln Itm2a","5"
"SM-GE63O_S065_E1-50","Vip","Vip Igfbp4 Mab21l1","4"
"SM-GE63O_S066_E1-50","Vip","Vip Igfbp4 Mab21l1","2/3"
"SM-GE63O_S072_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE63O_S060_E1-50","Vip","Vip Rspo1 Itga4","2/3"
"SM-GE63O_S068_E1-50","Vip","Vip Lmo1 Myl1","4"
"SM-GE63O_S061_E1-50","Vip","Vip Lmo1 Myl1","5"
"SM-GE63H_S098_E1-50","Vip","Vip Igfbp4 Mab21l1","2/3"
"SM-GE63H_S101_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE63H_S099_E1-50","Vip","Vip Chat Htr1f","2/3"
"SM-GE63H_S102_E1-50","Lamp5","Lamp5 Lsp1","1"
"SM-GE63H_S100_E1-50","Vip","Vip Crispld2 Kcne4","2/3"
"SM-GE63H_S119_E1-50","Pvalb","Pvalb Th Sst","5"
"SM-GE63H_S126_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE63H_S127_E1-50","Vip","Vip Crispld2 Htr2c","2/3"
"SM-GE63H_S132_E1-50","Vip","Vip Ptprt Pkp2","5"
"SM-GE63H_S121_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE63H_S128_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE63H_S122_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE63H_S152_E1-50","Pvalb","Pvalb Reln Itm2a","5"
"SM-GE63H_S142_E1-50","Vip","Vip Lmo1 Fam159b","5"
"SM-GE63H_S143_E1-50","Sst","Sst Rxfp1 Eya1","6"
"SM-GE63H_S147_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE63H_S135_E1-50","Vip","Vip Lmo1 Myl1","4"
"SM-GE63H_S136_E1-50","Pvalb","Pvalb Gpr149 Islr","5"
"SM-GE63H_S145_E1-50","Sst","Sst Esm1","5"
"SM-GE63H_S169_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE63H_S165_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE63H_S175_E1-50","Vip","Vip Col15a1 Pde1a","5"
"SM-GE63H_S172_E1-50","Sst","Sst Tac2 Myh4","6"
"SM-GE63H_S153_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE63H_S179_E1-50","Pvalb","Pvalb Sema3e Kank4","6"
"SM-GE63H_S155_E1-50","Sst","Sst Hpse Cbln4","4"
"SM-GE63H_S156_E1-50","Pvalb","Pvalb Tpbg","5"
"SM-GE65C_S101_E1-50","Vip","Vip Crispld2 Kcne4","5"
"SM-GE65C_S098_E1-50","Pvalb","Pvalb Vipr2","2/3"
"SM-GE63H_S157_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE63H_S159_E1-50","Sst","Sst Myh8 Etv1 ","5"
"SM-GE63H_S176_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE65C_S105_E1-50","Lamp5","Lamp5 Fam19a1 Tmem182","2/3"
"SM-GE63H_S168_E1-50","Sst","Sst Mme Fam114a1","6"
"SM-GE65C_S113_E1-50","Sst","Sst Tac1 Htr1d","2/3"
"SM-GE63H_S183_E1-50","Pvalb","Pvalb Reln Itm2a","4"
"SM-GE65C_S124_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE65C_S121_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE63H_S190_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE63H_S191_E1-50","Sst","Sst Crh 4930553C11Rik ","6"
"SM-GE65C_S139_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE65C_S137_E1-50","Vip","Vip Lect1 Oxtr","2/3"
"SM-GE65C_S138_E1-50","Sst","Sst Rxfp1 Eya1","5"
"SM-GE65C_S133_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE65C_S134_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE65C_S135_E1-50","Sst","Sst Nr2f2 Necab1","5"
"SM-GE65C_S142_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE65C_S171_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE65C_S172_E1-50","Lamp5","Lamp5 Lsp1","5"
"SM-GE65C_S169_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE65C_S173_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE65C_S170_E1-50","Vip","Vip Pygm C1ql1","5"
"SM-GE65C_S158_E1-50","Sst","Sst Rxfp1 Prdm8","5"
"SM-GE65C_S177_E1-50","Pvalb","Pvalb Sema3e Kank4","6"
"SM-GE65C_S178_E1-50","Lamp5","Lamp5 Lsp1","5"
"SM-GE652_S135_E1-50","Lamp5","Lamp5 Ntn1 Npy2r","1"
"SM-GE652_S136_E1-50","Vip","Vip Igfbp6 Pltp","1"
"SM-GE65C_S184_E1-50","Lamp5","Lamp5 Ntn1 Npy2r","1"
"SM-GE65C_S188_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE652_S137_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE65C_S185_E1-50","Vip","Vip Ptprt Pkp2","4"
"SM-GE65C_S189_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE652_S131_E1-50","Lamp5","Lamp5 Lsp1","5"
"SM-GE65C_S186_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE65C_S192_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE652_S161_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE652_S162_E1-50","Vip","Vip Lmo1 Myl1","2/3"
"SM-GE652_S152_E1-50","Lamp5","Lamp5 Lsp1","6"
"SM-GE652_S154_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE652_S164_E1-50","Lamp5","Lamp5 Plch2 Dock5","2/3"
"SM-GE652_S165_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE652_S183_E1-50","Vip","Vip Crispld2 Kcne4","2/3"
"SM-GE652_S171_E1-50","Vip","Vip Crispld2 Kcne4","2/3"
"SM-GE64T_S097_E1-50","Serpinf1","Serpinf1 Aqp5 Vip","2/3"
"SM-GE64T_S100_E1-50","Lamp5","Lamp5 Lsp1","1"
"SM-GE64T_S114_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE64T_S116_E1-50","Lamp5","Lamp5 Lsp1","1"
"SM-GE64T_S124_E1-50","Sst","Sst Hpse Cbln4","4"
"SM-GE64T_S125_E1-50","Sst","Sst Crh 4930553C11Rik ","6"
"SM-GE64T_S131_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE64T_S127_E1-50","Sst","Sst Myh8 Fibin","6"
"SM-GE64T_S128_E1-50","Pvalb","Pvalb Sema3e Kank4","6"
"SM-GE64T_S143_E1-50","Sncg","Sncg Vip Nptx2","5"
"SM-GE64V_S104_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE64V_S106_E1-50","Sst","Sst Hpse Sema3c","5"
"SM-GE64V_S107_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE64V_S116_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE64V_S117_E1-50","Sst","Sst Hpse Sema3c","5"
"SM-GE64V_S118_E1-50","Sst","Sst Chodl","6"
"SM-GE64L_S003_E1-50","Sst","Sst Chodl","5"
"SM-GE64V_S120_E1-50","Sst","Sst Chodl","5"
"SM-GE64V_S110_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE64V_S114_E1-50","Sst","Sst Rxfp1 Prdm8","4"
"SM-GE64V_S115_E1-50","Sst","Sst Rxfp1 Prdm8","2/3"
"SM-GE64L_S008_E1-50","Sst","Sst Hpse Cbln4","4"
"SM-GE64L_S010_E1-50","Sst","Sst Chodl","6"
"SM-GE64L_S011_E1-50","Sst","Sst Nr2f2 Necab1","6"
"SM-GE64L_S018_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE64L_S019_E1-50","Sst","Sst Myh8 Fibin","6"
"SM-GE64L_S027_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE64F_S097_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE64F_S098_E1-50","Lamp5","Lamp5 Krt73","1"
"SM-GE64F_S112_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE64F_S105_E1-50","Vip","Vip Lect1 Oxtr","2/3"
"SM-GE64F_S106_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE64L_S048_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE64F_S101_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE64F_S108_E1-50","Sst","Sst Chodl","1"
"SM-GE64F_S118_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE64F_S110_E1-50","Lamp5","Lamp5 Fam19a1 Tmem182","1"
"SM-GE64F_S119_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE64F_S120_E1-50","Lamp5","Lamp5 Lsp1","1"
"SM-GE64F_S128_E1-50","Lamp5","Lamp5 Plch2 Dock5","6"
"SM-GE64F_S129_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE64F_S135_E1-50","Lamp5","Lamp5 Lsp1","1"
"SM-GE64F_S130_E1-50","Lamp5","Lamp5 Lsp1","5"
"SM-GE64F_S131_E1-50","Lamp5","Lamp5 Lsp1","5"
"SM-GE64F_S146_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE64F_S147_E1-50","Sst","Sst Myh8 Etv1 ","5"
"SM-GE64F_S151_E1-50","Lamp5","Lamp5 Lsp1","5"
"SM-GE64F_S148_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE64F_S152_E1-50","Pvalb","Pvalb Th Sst","6"
"SM-GE64F_S125_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE64F_S162_E1-50","Vip","Vip Rspo4 Rxfp1 Chat","2/3"
"SM-GE64F_S163_E1-50","Sst","Sst Calb2 Necab1","5"
"SM-GE64F_S164_E1-50","Sst","Sst Hpse Cbln4","4"
"SM-GE64F_S153_E1-50","Vip","Vip Ptprt Pkp2","4"
"SM-GE64F_S154_E1-50","Vip","Vip Lmo1 Myl1","4"
"SM-GE64F_S166_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE64F_S176_E1-50","Lamp5","Lamp5 Lsp1","1"
"SM-GE64F_S155_E1-50","Pvalb","Pvalb Calb1 Sst","5"
"SM-GE64F_S183_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE64F_S191_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE643_S145_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE643_S149_E1-50","Pvalb","Pvalb Akr1c18 Ntf3","6"
"SM-GE643_S150_E1-50","Sst","Sst Tac2 Tacstd2","6"
"SM-GE643_S186_E1-50","Sst","Sst Myh8 Etv1 ","5"
"SM-GE66I_S153_E1-50","Sst","Sst Hpse Sema3c","5"
"SM-GE66M_S025_E1-50","Sst","Sst Esm1","6"
"SM-GE66M_S026_E1-50","Sst","Sst Chrna2 Ptgdr","6"
"SM-GE66M_S017_E1-50","Pvalb","Pvalb Reln Tac1","4"
"SM-GE66P_S087_E1-50","Pvalb","Pvalb Reln Itm2a","5"
"SM-GE66C_S099_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE66C_S100_E1-50","Pvalb","Pvalb Reln Itm2a","5"
"SM-GE66P_S085_E1-50","Pvalb","Pvalb Reln Itm2a","5"
"SM-GE66P_S086_E1-50","Pvalb","Pvalb Reln Itm2a","5"
"SM-GE66C_S114_E1-50","Sst","Sst Chodl","5"
"SM-GE66C_S115_E1-50","Sst","Sst Chodl","1"
"SM-GE66C_S108_E1-50","Sst","Sst Tac1 Tacr3","2/3"
"SM-GE66C_S104_E1-50","Sst","Sst Tac1 Htr1d","2/3"
"SM-GE66C_S119_E1-50","Pvalb","Pvalb Akr1c18 Ntf3","6"
"SM-GE66C_S120_E1-50","Pvalb","Pvalb Reln Tac1","5"
"SM-GE66C_S106_E1-50","Pvalb","Pvalb Sema3e Kank4","5"
"SM-GE66C_S113_E1-50","Pvalb","Pvalb Sema3e Kank4","6"
"SM-GE66C_S129_E1-50","Sst","Sst Esm1","2/3"
"SM-GE66C_S130_E1-50","Sst","Sst Rxfp1 Eya1","5"
"SM-GE66E_S108_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE66E_S113_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE66E_S127_E1-50","Vip","Vip Lmo1 Myl1","2/3"
"SM-GE66E_S128_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE66E_S121_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE66E_S122_E1-50","Vip","Vip Arhgap36 Hmcn1","2/3"
"SM-GE66E_S135_E1-50","Vip","Vip Chat Htr1f","2/3"
"SM-GE66E_S130_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE66E_S136_E1-50","Vip","Vip Ptprt Pkp2","4"
"SM-GE66E_S123_E1-50","Vip","Vip Lmo1 Myl1","4"
"SM-GE66E_S142_E1-50","Sncg","Sncg Vip Itih5","2/3"
"SM-GE66E_S131_E1-50","Vip","Vip Crispld2 Kcne4","2/3"
"SM-GE66E_S143_E1-50","Vip","Vip Ptprt Pkp2","4"
"SM-GE66E_S139_E1-50","Vip","Vip Ptprt Pkp2","4"
"SM-GE66E_S132_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE66H_S005_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE66H_S006_E1-50","Vip","Vip Arhgap36 Hmcn1","4"
"SM-GE66H_S013_E1-50","Vip","Vip Arhgap36 Hmcn1","4"
"SM-GE66H_S007_E1-50","Vip","Vip Chat Htr1f","2/3"
"SM-GE66H_S018_E1-50","Vip","Vip Lmo1 Fam159b","5"
"SM-GE66H_S019_E1-50","Vip","Vip Crispld2 Kcne4","5"
"SM-GE66H_S028_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE66H_S047_E1-50","Pvalb","Pvalb Reln Itm2a","4"
"SM-GE66H_S041_E1-50","Pvalb","Pvalb Reln Itm2a","5"
"SM-GE66H_S031_E1-50","Lamp5","Lamp5 Ntn1 Npy2r","1"
"SM-GE66H_S032_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE66H_S034_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE66H_S042_E1-50","Lamp5","Lamp5 Ntn1 Npy2r","1"
"SM-GE66H_S035_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE66H_S036_E1-50","Lamp5","Lamp5 Ntn1 Npy2r","2/3"
"SM-GE66H_S045_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE666_S003_E1-50","Vip","Vip Arhgap36 Hmcn1","2/3"
"SM-GE666_S012_E1-50","Vip","Vip Crispld2 Kcne4","2/3"
"SM-GE666_S014_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE666_S023_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE666_S030_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE666_S032_E1-50","Sst","Sst Nr2f2 Necab1","5"
"SM-GE65Y_S097_E1-50","Sst","Sst Calb2 Pdlim5","2/3"
"SM-GE65Z_S053_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE65Z_S054_E1-50","Lamp5","Lamp5 Ntn1 Npy2r","1"
"SM-GE65Y_S142_E1-50","Pvalb","Pvalb Tpbg","6"
"SM-GE65Y_S143_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE65Y_S144_E1-50","Lamp5","Lamp5 Lsp1","1"
"SM-GE65Z_S049_E1-50","Lamp5","Lamp5 Ntn1 Npy2r","4"
"SM-GE65Y_S132_E1-50","Lamp5","Lamp5 Ntn1 Npy2r","1"
"SM-GE65Z_S050_E1-50","Lamp5","Lamp5 Ntn1 Npy2r","2/3"
"SM-GE65Y_S133_E1-50","Lamp5","Lamp5 Ntn1 Npy2r","1"
"SM-GE65Z_S051_E1-50","Lamp5","Lamp5 Ntn1 Npy2r","1"
"SM-GE65Z_S052_E1-50","Sst","Sst Tac2 Tacstd2","5"
"SM-GE65Z_S067_E1-50","Pvalb","Pvalb Gabrg1","5"
"SM-GE65Z_S072_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE65Z_S070_E1-50","Sst","Sst Rxfp1 Prdm8","5"
"SM-GE65Z_S055_E1-50","Sst","Sst Rxfp1 Prdm8","5"
"SM-GE65Z_S093_E1-50","Lamp5","Lamp5 Ntn1 Npy2r","2/3"
"SM-GE65O_S054_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE65O_S055_E1-50","Lamp5","Lamp5 Ntn1 Npy2r","1"
"SM-GE65O_S056_E1-50","Lamp5","Lamp5 Fam19a1 Tmem182","1"
"SM-GE65O_S064_E1-50","Pvalb","Pvalb Reln Itm2a","2/3"
"SM-GE65O_S065_E1-50","Vip","Vip Arhgap36 Hmcn1","5"
"SM-GE65O_S070_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE65R_S010_E1-50","Sst","Sst Myh8 Etv1 ","5"
"SM-GE65R_S013_E1-50","Sst","Sst Rxfp1 Prdm8","6"
"SM-GE65R_S027_E1-50","Pvalb","Pvalb Vipr2","2/3"
"SM-GE65R_S028_E1-50","Pvalb","Pvalb Sema3e Kank4","5"
"SM-GE65R_S029_E1-50","Lamp5","Lamp5 Plch2 Dock5","2/3"
"SM-GE65R_S035_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE65R_S030_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE65R_S031_E1-50","Lamp5","Lamp5 Lsp1","6"
"SM-GE65R_S036_E1-50","Pvalb","Pvalb Reln Itm2a","4"
"SM-GE65R_S032_E1-50","Lamp5","Lamp5 Lsp1","6"
"SM-GE65D_S148_E1-50","Pvalb","Pvalb Reln Itm2a","4"
"SM-GE65D_S157_E1-50","Sncg","Sncg Gpr50","2/3"
"SM-GE65D_S159_E1-50","Sst","Sst Esm1","5"
"SM-GE65D_S178_E1-50","Sst","Sst Esm1","5"
"SM-GE65D_S181_E1-50","Pvalb","Pvalb Vipr2","2/3"
"SM-GE65D_S173_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE65D_S182_E1-50","Serpinf1","Serpinf1 Aqp5 Vip","2/3"
"SM-GE65D_S174_E1-50","Lamp5","Lamp5 Ntn1 Npy2r","1"
"SM-GE65D_S175_E1-50","Lamp5","Lamp5 Plch2 Dock5","2/3"
"SM-GE65H_S016_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE65D_S192_E1-50","Sncg","Sncg Vip Itih5","5"
"SM-GE65D_S187_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE65H_S009_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE65H_S002_E1-50","Lamp5","Lamp5 Lsp1","1"
"SM-GE65H_S010_E1-50","Lamp5","Lamp5 Ntn1 Npy2r","1"
"SM-GE65H_S014_E1-50","Sst","Sst Hpse Cbln4","5"
"SM-GE65H_S020_E1-50","Lamp5","Lamp5 Fam19a1 Tmem182","1"
"SM-GE65H_S031_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE65H_S041_E1-50","Lamp5","Lamp5 Lsp1","1"
"SM-GE65H_S042_E1-50","Vip","Vip Igfbp4 Mab21l1","6"
"SM-GE65H_S022_E1-50","Vip","Vip Pygm C1ql1","2/3"
"SM-GE8ZP_S163_E1-50","Lamp5","Lamp5 Plch2 Dock5","2/3"
"SM-GE65H_S023_E1-50","Lamp5","Lamp5 Fam19a1 Tmem182","1"
"SM-GE672_S030_E1-50","Sst","Sst Hpse Sema3c","5"
"SM-GE672_S032_E1-50","Sst","Sst Chrna2 Ptgdr","5"
"SM-GE672_S033_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE8ZP_S187_E1-50","Sst","Sst Rxfp1 Prdm8","6"
"SM-GE8ZP_S181_E1-50","Pvalb","Pvalb Reln Tac1","5"
"SM-GE8ZP_S182_E1-50","Pvalb","Pvalb Sema3e Kank4","6"
"SM-GE8ZP_S183_E1-50","Sst","Sst Mme Fam114a1","5"
"SM-GE8ZP_S184_E1-50","Sst","Sst Rxfp1 Eya1","6"
"SM-GE672_S075_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE672_S044_E1-50","Vip","Vip Crispld2 Htr2c","2/3"
"SM-GE672_S085_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE672_S096_E1-50","Vip","Vip Rspo4 Rxfp1 Chat","4"
"SM-GE672_S086_E1-50","Lamp5","Lamp5 Lsp1","4"
"SM-GE672_S087_E1-50","Lamp5","Lamp5 Lsp1","4"
"SM-GE672_S154_E1-50","Vip","Vip Ptprt Pkp2","4"
"SM-GE672_S156_E1-50","Lamp5","Lamp5 Lsp1","6"
"SM-GE672_S161_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE672_S166_E1-50","Sst","Sst Hpse Sema3c","5"
"SM-GE672_S167_E1-50","Vip","Vip Rspo4 Rxfp1 Chat","2/3"
"SM-GE672_S165_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE672_S170_E1-50","Sst","Sst Calb2 Pdlim5","5"
"SM-GE672_S191_E1-50","Sst","Sst Chodl","5"
"SM-GE672_S175_E1-50","Sst","Sst Chodl","1"
"SM-GE66Q_S001_E1-50","Pvalb","Pvalb Tpbg","2/3"
"SM-GE672_S183_E1-50","Pvalb","Pvalb Vipr2","5"
"SM-GE66Q_S003_E1-50","Vip","Vip Ptprt Pkp2","4"
"SM-GE672_S184_E1-50","Sst","Sst Esm1","5"
"SM-GE66Q_S026_E1-50","Vip","Vip Ptprt Pkp2","4"
"SM-GE66Q_S027_E1-50","Pvalb","Pvalb Vipr2","2/3"
"SM-GE66Q_S013_E1-50","Vip","Vip Crispld2 Kcne4","2/3"
"SM-GE66Q_S020_E1-50","Vip","Vip Lmo1 Fam159b","6"
"SM-GE66Q_S002_E1-50","Pvalb","Pvalb Reln Itm2a","5"
"SM-GE66Q_S014_E1-50","Vip","Vip Gpc3 Slc18a3","4"
"SM-GE66Q_S031_E1-50","Sst","Sst Hpse Sema3c","5"
"SM-GE66Q_S008_E1-50","Lamp5","Lamp5 Plch2 Dock5","1"
"SM-GE8ZC_S098_E1-50","Vip","Vip Lmo1 Myl1","4"
"SM-GE66Q_S046_E1-50","Sst","Sst Tac2 Myh4","5"
"SM-GE66Q_S043_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE66Q_S044_E1-50","Vip","Vip Arhgap36 Hmcn1","5"
"SM-GE66Q_S036_E1-50","Vip","Vip Chat Htr1f","2/3"
"SM-GE66Q_S041_E1-50","Vip","Vip Rspo4 Rxfp1 Chat","1"
"SM-GE8ZC_S099_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE8ZC_S106_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE8ZC_S103_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE8ZC_S110_E1-50","Vip","Vip Ptprt Pkp2","2/3"
"SM-GE8ZC_S111_E1-50","Vip","Vip Rspo4 Rxfp1 Chat","2/3"
"SM-GE8ZC_S124_E1-50","Vip","Vip Rspo4 Rxfp1 Chat","2/3"
"SM-GE8ZC_S113_E1-50","Lamp5","Lamp5 Lsp1","2/3"
"SM-GE8ZC_S127_E1-50","Vip","Vip Rspo4 Rxfp1 Chat","2/3"
"SM-GE8ZC_S121_E1-50","Lamp5","Lamp5 Lsp1","1"
"SM-GE8ZC_S134_E1-50","Sncg","Sncg Vip Itih5","2/3"
"SM-GE8ZC_S135_E1-50","Pvalb","Pvalb Reln Tac1","5"
"SM-GE8ZC_S137_E1-50","Sst","Sst Rxfp1 Eya1","6"
"SM-GE8ZC_S136_E1-50","Lamp5","Lamp5 Lsp1","1"
"SM-GE8ZC_S132_E1-50","Serpinf1","Serpinf1 Aqp5 Vip","2/3"
"SM-GE8ZC_S133_E1-50","Vip","Vip Arhgap36 Hmcn1","5"
"SM-GE8ZC_S140_E1-50","Sst","Sst Hpse Sema3c","5"
